Resumo,Chave da item,ID da item,Tipo de item,Status,Chave do projeto,Nome do projeto,Tipo de projeto,Líder do projeto,ID do líder do projeto,Descrição do projeto,Prioridade,Resolução,Responsável,ID do responsável,Relator,ID do relator,Criador,ID do criador,Criado,Atualizado(a),Última visualização,Resolvido,Data limite,Votos,Descrição,Ambiente,Observadores,ID dos observadores,Estimativa original,Estimativa de trabalho restante,Tempo gasto,Razão Trabalhada,Σ da Estimativa Original,Σ da estimativa de trabalho restante,Σ de Tempo Gasto,Nível de Segurança,Campo personalizado (Actual end),Campo personalizado (Actual start),Campo personalizado (Change reason),Campo personalizado (Change risk),Campo personalizado (Change type),Campo personalizado (Compass),Campo personalizado (Epic Color),Campo personalizado (Epic Name),Campo personalizado (Epic Status),Campo personalizado (Formulários abertos),Campo personalizado (Formulários bloqueados),Campo personalizado (Formulários enviados),Campo personalizado (Formulários totais),Campo personalizado (Impact),Campo personalizado (Issue color),Campo personalizado (Rank),Campo personalizado (Request Type),Sprint,Campo personalizado (Start date),Campo personalizado (Story point estimate),Campo personalizado (Target end),Campo personalizado (Target start),Campo personalizado (Team),Campo personalizado ([CHART] Date of First Response),Campo personalizado (development),Categoria do status
João,ABC-29,10028,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 8:49 PM,28/mai/23 8:54 PM,28/mai/23 8:58 PM,,,0,João deseja utilizar a web analise para ver o tempo de cada compra e qual produto o cliente está mais comprando para ver demandas.,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i00053:,,Historia do usuário,,,,,,,,Itens Pendentes
Ana,ABC-28,10027,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 8:49 PM,28/mai/23 8:51 PM,28/mai/23 8:50 PM,,,0,Ana quer utilizar a web analise para verificar se seus produtos estão sendo enviados corretamente e ver avaliações do seus clientes.,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,Historia do usuário,,,,,,,,Itens Pendentes
O Site deve ser testado a cada 5 dias,ABC-27,10026,Tarefa,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:57 PM,28/mai/23 7:57 PM,28/mai/23 7:57 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,Critérios de aceitação,,,,,,,,Itens Pendentes
"Devo ser capaz de visualizar os dados por dia, semana, mês ou ano.",ABC-26,10025,Tarefa,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:56 PM,28/mai/23 7:56 PM,28/mai/23 7:56 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,Critérios de aceitação,,,,,,,,Itens Pendentes
Desenvolvimento do site deve ser mostrado a cada 5 dias,ABC-25,10024,Tarefa,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:56 PM,28/mai/23 7:56 PM,28/mai/23 7:57 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,Critérios de aceitação,,,,,,,,Itens Pendentes
Eng. de dados,ABC-24,10023,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:44 PM,28/mai/23 7:58 PM,28/mai/23 9:01 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0003z:,,Equipe,,,,,,,,Itens Pendentes
DevOps,ABC-23,10022,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:44 PM,28/mai/23 7:58 PM,28/mai/23 7:58 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0003r:,,Equipe,,,,,,,,Itens Pendentes
Front-end,ABC-22,10021,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:44 PM,28/mai/23 7:58 PM,28/mai/23 7:58 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0003j:,,Equipe,,,,,,,,Itens Pendentes
Back-end,ABC-21,10020,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:44 PM,28/mai/23 7:58 PM,28/mai/23 7:58 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,,Equipe,,,,,,,,Itens Pendentes
Gerente de projetos,ABC-20,10019,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 7:44 PM,28/mai/23 7:58 PM,28/mai/23 9:00 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:,,Equipe,,,,,,,,Itens Pendentes
Ações,ABC-19,10018,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 6:40 PM,28/mai/23 7:34 PM,28/mai/23 9:01 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzr:,,,,,,,,,,Itens Pendentes
Ações,ABC-18,10017,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 6:40 PM,28/mai/23 7:34 PM,28/mai/23 9:01 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzj:,,,,,,,,,,Itens Pendentes
Ações,ABC-17,10016,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 6:40 PM,28/mai/23 7:34 PM,28/mai/23 7:38 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzb:,,,,,,,,,,Itens Pendentes
Ações,ABC-16,10015,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 6:40 PM,28/mai/23 7:34 PM,28/mai/23 9:01 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzz3:,,,,,,,,,,Itens Pendentes
Ações,ABC-15,10014,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 6:40 PM,28/mai/23 7:40 PM,28/mai/23 7:04 PM,,,0,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzyv:,,,,,,,,,,Itens Pendentes
Eng. de Dados,ABC-14,10013,Tarefa,Em andamento,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 6:36 PM,28/mai/23 7:42 PM,28/mai/23 7:42 PM,,,0,"* {{Projeto de pipeline de dados: projetar e arquitetar o pipeline de dados que coleta, processa e armazena dados relevantes gerados pelo site, garantindo fluxo de dados eficiente e escalabilidade.}}
* {{Coleta e integração de dados: identificando e integrando várias fontes de dados, como interações do usuário, análise de sites e APIs externas, para coletar dados abrangentes para análise e tomada de decisões.}}
* {{Modelagem de dados e design de banco de dados: Projetando e implementando os modelos de dados e estruturas de banco de dados que armazenam os dados do site, garantindo normalização adequada, indexação e recursos de consulta eficientes.}}
* {{Transformação de dados e ETL: implementação de processos de Extração, Transformação, Carregamento (ETL) para limpar, transformar e enriquecer os dados coletados, tornando-os adequados para análise e aplicativos downstream.}}",,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0002v:,,Tarefas técnicas,,,,,,,,Em andamento
DevOps,ABC-13,10012,Tarefa,Em andamento,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 6:36 PM,28/mai/23 7:42 PM,28/mai/23 7:42 PM,,,0,"* {{Provisionamento de infraestrutura: instalação e configuração da infraestrutura necessária, incluindo servidores, componentes de rede e serviços em nuvem, para dar suporte aos ambientes de desenvolvimento, teste e implantação do site.}}
* {{Integração e implantação contínuas: implementação e manutenção de pipelines de CI/CD para automatizar os processos de construção, teste e implantação do site, garantindo lançamentos rápidos e confiáveis.}}
* {{Controle de versão e gerenciamento de configuração: gerenciamento do sistema de controle de versão (por exemplo, Git) e definição de práticas de gerenciamento de configuração para rastrear alterações, gerenciar ramificações de base de código e garantir configurações de implantação consistentes em diferentes ambientes.}}
* {{Monitoramento e alerta: configuração de ferramentas de monitoramento e configuração de alertas para rastrear o desempenho do site, a utilização de recursos e a integridade do aplicativo, permitindo a identificação proativa e a resolução de problemas.}}",,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0002n:,,Tarefas técnicas,,,,,,,,Em andamento
Front-end,ABC-12,10011,Tarefa,Em andamento,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 6:36 PM,28/mai/23 7:42 PM,28/mai/23 7:42 PM,,,0,"* {{Implementação de design de interface do usuário/UX: traduzindo as maquetes de design visual ou wireframes em páginas da Web reais usando HTML, CSS e JavaScript, garantindo representação precisa e implementação perfeita de pixels.}}
* {{Marcação HTML: Criando a estrutura subjacente do site, escrevendo código HTML semântico, organizando conteúdo e utilizando tags e elementos adequados para acessibilidade e otimização de mecanismos de pesquisa (SEO).}}
* {{Estilização CSS: Aplicação de estilos aos elementos do site usando CSS, incluindo layout, tipografia, cores e técnicas de design responsivo para garantir uma apresentação consistente e visualmente atraente em diferentes dispositivos e tamanhos de tela.}}
* {{Interatividade JavaScript: adicionar interatividade ao site implementando a funcionalidade JavaScript, como validação de formulário, manipulação de DOM, manipulação de eventos e integração com bibliotecas ou estruturas externas.}}
* {{Design Responsivo: Garantir que o site seja responsivo e compatível com dispositivos móveis, adaptando seu layout e design para proporcionar uma experiência de usuário ideal em vários dispositivos, incluindo smartphones, tablets e desktops.}}",,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0002f:,,Tarefas técnicas,,,,,,,,Em andamento
Back-end,ABC-11,10010,Tarefa,Em andamento,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 6:36 PM,28/mai/23 7:42 PM,28/mai/23 7:42 PM,,,0,"* {{Projeto e implementação do banco de dados: Projeto e implementação da estrutura do banco de dados para o site, incluindo a definição de tabelas, relacionamentos e otimização de consultas.}}
* {{Programação no lado do servidor: desenvolvendo a lógica e a funcionalidade do lado do servidor usando linguagens de programação como Python, Java ou PHP. Isso inclui lidar com solicitações, processar dados e gerar conteúdo dinâmico.}}
* {{Integração de API: integração de APIs externas ou serviços da Web para buscar ou enviar dados entre o site e outros sistemas, como gateways de pagamento, plataformas de mídia social ou APIs de terceiros.}}
* {{Autenticação e autorização do usuário: implementação de mecanismos seguros de autenticação e autorização do usuário, como login do usuário, registro, gerenciamento de senha e controle de acesso baseado em função.}}
* {{Validação e segurança de dados: garantir a segurança e a integridade da entrada do usuário, implementando técnicas adequadas de validação e sanitização para evitar vulnerabilidades de segurança comuns, como injeção de SQL ou ataques de script entre sites (XSS).}}",,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i00027:,,Tarefas técnicas,,,,,,,,Em andamento
Responsável ,ABC-10,10009,História,Tarefas pendentes,ABC,AdventureWorks,software,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,Medium,,,,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,28/mai/23 6:33 PM,28/mai/23 7:52 PM,28/mai/23 9:00 PM,,,0,"* {{Planejamento do Projeto: Desenvolvimento de um plano de projeto abrangente, incluindo a definição do escopo do projeto, objetivos, entregas, cronogramas e requisitos de recursos.}} 
* {{Gerenciamento de equipe: Construir e gerenciar uma equipe de projeto de alto desempenho, incluindo a atribuição de funções e responsabilidades, fornecendo orientação e suporte e promovendo comunicação e colaboração eficazes.}}
* {{Engajamento das partes interessadas: identificar e envolver as partes interessadas, como clientes, usuários finais e equipes internas, para reunir requisitos, gerenciar expectativas e garantir o alinhamento com os objetivos do projeto.}}
* {{Gerenciamento de Riscos: Identificar riscos potenciais e desenvolver estratégias de mitigação para minimizar seu impacto no projeto. Monitorar e abordar regularmente os riscos durante todo o ciclo de vida do projeto.}}
* {{Gerenciamento de orçamento e recursos: gerenciamento de orçamentos de projetos, acompanhamento de despesas e otimização da alocação de recursos para garantir a utilização eficiente dos recursos dentro dos orçamentos alocados.}}",,Samuel David,712020:359c8d08-1394-4f07-9c99-31bc4f7cc03f,,,,,,,,,,,,,,,,,,,,,,,,0|i0001z:,,Gerente de projeto,,,,,,,,Itens Pendentes
